2019-06-27 11:20:17,860 INFO osmnx Configured osmnx
2019-06-27 11:20:22,444 INFO osmnx Converting node and edge attribute data types
2019-06-27 11:20:22,520 INFO osmnx Loaded graph with 1,389 nodes and 3,900 edges in 0.28 seconds from "outputs/soho.graphml"
2019-06-27 11:20:23,666 INFO osmnx Begin plotting the graph...
2019-06-27 11:20:23,791 INFO osmnx Created GeoDataFrame "unnamed_edges" from graph in 0.12 seconds
2019-06-27 11:20:23,998 INFO osmnx Drew the graph edges in 0.07 seconds
2019-06-27 11:20:24,268 INFO osmnx Showed the plot in 0.21 seconds
2019-06-27 11:20:42,971 INFO osmnx Found nearest node (25473556) to point (51.512729, -0.136973) in 0.01 seconds
2019-06-27 11:20:42,977 INFO osmnx Found nearest node (25473408) to point (51.512868, -0.13635799999999998) in 0.01 seconds
2019-06-27 11:20:42,984 INFO osmnx Found nearest node (25475478) to point (51.512723, -0.13663) in 0.01 seconds
2019-06-27 11:20:42,990 INFO osmnx Found nearest node (25475478) to point (51.512654, -0.13658399999999998) in 0.01 seconds
2019-06-27 11:20:42,996 INFO osmnx Found nearest node (25475478) to point (51.512713, -0.136423) in 0.01 seconds
2019-06-27 11:20:43,003 INFO osmnx Found nearest node (25475478) to point (51.512615000000004, -0.136345) in 0.01 seconds
2019-06-27 11:20:43,009 INFO osmnx Found nearest node (4739043743) to point (51.512491, -0.136437) in 0.01 seconds
2019-06-27 11:20:43,016 INFO osmnx Found nearest node (4739043743) to point (51.512449, -0.136377) in 0.01 seconds
2019-06-27 11:20:43,023 INFO osmnx Found nearest node (4731047383) to point (51.512465, -0.136197) in 0.01 seconds
2019-06-27 11:20:43,030 INFO osmnx Found nearest node (4739043743) to point (51.512413, -0.136142) in 0.01 seconds
2019-06-27 11:20:43,037 INFO osmnx Found nearest node (5518619474) to point (51.512358, -0.136102) in 0.01 seconds
2019-06-27 11:20:43,043 INFO osmnx Found nearest node (5518619474) to point (51.512271000000005, -0.13602999999999998) in 0.01 seconds
2019-06-27 11:20:43,050 INFO osmnx Found nearest node (4739043743) to point (51.512355, -0.13631) in 0.01 seconds
2019-06-27 11:20:43,056 INFO osmnx Found nearest node (5518619474) to point (51.511990999999995, -0.13594) in 0.01 seconds
2019-06-27 11:20:43,062 INFO osmnx Found nearest node (5518619474) to point (51.512083000000004, -0.135858) in 0.01 seconds
2019-06-27 11:20:43,069 INFO osmnx Found nearest node (5518619474) to point (51.512031, -0.1358) in 0.01 seconds
2019-06-27 11:20:43,076 INFO osmnx Found nearest node (5518619474) to point (51.51197, -0.135717) in 0.01 seconds
2019-06-27 11:20:43,083 INFO osmnx Found nearest node (25473291) to point (51.511882, -0.13511900000000002) in 0.01 seconds
2019-06-27 11:20:43,089 INFO osmnx Found nearest node (4731047369) to point (51.51205, -0.13514400000000001) in 0.01 seconds
2019-06-27 11:20:43,096 INFO osmnx Found nearest node (4731047333) to point (51.51225, -0.13539400000000001) in 0.01 seconds
2019-06-27 11:20:43,102 INFO osmnx Found nearest node (4731047332) to point (51.512162, -0.135409) in 0.01 seconds
2019-06-27 11:20:43,109 INFO osmnx Found nearest node (4731047332) to point (51.512212, -0.135472) in 0.01 seconds
2019-06-27 11:20:43,115 INFO osmnx Found nearest node (4731047386) to point (51.512572999999996, -0.135765) in 0.01 seconds
2019-06-27 11:20:43,121 INFO osmnx Found nearest node (4731047383) to point (51.512575, -0.135871) in 0.01 seconds
